:START_ID|:END_ID|:TYPE
nm0919925|tt0381849|WROTE
nm0104973|tt0381849|WROTE
nm0351929|tt0381849|WROTE
nm0001465|tt0381849|WROTE
nm0604948|tt0382737|WROTE
nm0135296|tt0382932|WROTE
nm1486235|tt0382932|WROTE
nm0453994|tt0383053|WROTE
nm0254645|tt0383574|WROTE
nm0744429|tt0383574|WROTE
nm0064181|tt0383574|WROTE
nm0938684|tt0383574|WROTE
nm0947999|tt0384116|WROTE
nm1471990|tt0385002|WROTE
nm0791285|tt0385002|WROTE
nm1104077|tt0385004|WROTE
nm0910841|tt0385004|WROTE
nm0756983|tt0385700|WROTE
nm1081992|tt0385700|WROTE
nm1638748|tt0385700|WROTE
nm0457592|tt0385700|WROTE
nm0798960|tt0386792|WROTE
nm0145781|tt0386792|WROTE
nm0128997|tt0387131|WROTE
nm0494170|tt0387131|WROTE
nm0776433|tt0387301|WROTE
nm0698925|tt0388795|WROTE
nm0573505|tt0388795|WROTE
nm0652223|tt0388795|WROTE
nm0609600|tt0389074|WROTE
nm0744793|tt0389074|WROTE
nm0812121|tt0389557|WROTE
nm0084334|tt0390022|WROTE
nm0169173|tt0390022|WROTE
nm0777043|tt0393162|WROTE
nm0309691|tt0393162|WROTE
nm0669311|tt0395169|WROTE
nm0494096|tt0395565|WROTE
nm0253544|tt0395565|WROTE
nm0595584|tt0395571|WROTE
nm0001949|tt0396171|WROTE
nm0251536|tt0396171|WROTE
nm0845752|tt0396171|WROTE
nm0756944|tt0397313|WROTE
nm0226547|tt0397313|WROTE
nm0410945|tt0397313|WROTE
nm0475542|tt0397313|WROTE
nm0633986|tt0397313|WROTE
nm0842523|tt0397535|WROTE
nm1006264|tt0397535|WROTE
nm1557594|tt0398286|WROTE
nm0342278|tt0398286|WROTE
nm0342303|tt0398286|WROTE
nm0830969|tt0398808|WROTE
nm1547579|tt0398808|WROTE
nm0665505|tt0398808|WROTE
nm0905957|tt0399146|WROTE
nm1583671|tt0399146|WROTE
nm0647939|tt0399146|WROTE
nm0016880|tt0400435|WROTE
nm0367838|tt0401383|WROTE
nm1568285|tt0401383|WROTE
nm0458884|tt0401445|WROTE
nm0562706|tt0401445|WROTE
nm0156417|tt0401504|WROTE
nm0563240|tt0401997|WROTE
nm0745360|tt0401997|WROTE
nm1268985|tt0402348|WROTE
nm1031745|tt0402348|WROTE
nm0674909|tt0404203|WROTE
nm0614441|tt0404364|WROTE
nm0836081|tt0404364|WROTE
nm0353673|tt0405159|WROTE
nm0101801|tt0405159|WROTE
nm0001140|tt0405296|WROTE
nm1028832|tt0405508|WROTE
nm1149334|tt0405508|WROTE
nm0659238|tt0405508|WROTE
nm1720853|tt0406046|WROTE
nm0859742|tt0406046|WROTE
nm1757233|tt0407612|WROTE
nm1757234|tt0407612|WROTE
nm0859742|tt0407612|WROTE
nm1184258|tt0407887|WROTE
nm0538320|tt0407887|WROTE
nm0159039|tt0407887|WROTE
nm0763650|tt0407936|WROTE
nm0339030|tt0408056|WROTE
nm0382505|tt0408056|WROTE
nm0517589|tt0408236|WROTE
nm0923839|tt0408236|WROTE
nm0093904|tt0408236|WROTE
nm1065785|tt0408306|WROTE
nm0744839|tt0408306|WROTE
nm0427305|tt0408306|WROTE
nm0371684|tt0409459|WROTE
nm0874844|tt0409459|WROTE
nm1733301|tt0409459|WROTE
nm0600872|tt0409459|WROTE
nm0691131|tt0411291|WROTE
nm0700312|tt0411291|WROTE
nm0586005|tt0411477|WROTE
nm2260851|tt0412019|WROTE
nm0238138|tt0412019|WROTE
nm2090987|tt0412366|WROTE
nm0000807|tt0414387|WROTE
nm0595738|tt0414387|WROTE
nm0000668|tt0414387|WROTE
nm0000108|tt0414852|WROTE
nm0359504|tt0414993|WROTE
nm0426500|tt0416449|WROTE
nm1290582|tt0416449|WROTE
nm0588340|tt0416449|WROTE
nm2241067|tt0416449|WROTE
nm0000807|tt0416508|WROTE
nm0393495|tt0416508|WROTE
nm0931650|tt0416508|WROTE
nm0460141|tt0417741|WROTE
nm0746830|tt0417741|WROTE
nm0649460|tt0418279|WROTE
nm0476064|tt0418279|WROTE
nm0736966|tt0418279|WROTE
nm0115310|tt0418689|WROTE
nm0353673|tt0418689|WROTE
nm1669383|tt0418689|WROTE
nm0694612|tt0418689|WROTE
nm0115310|tt0418763|WROTE
nm1666018|tt0418763|WROTE
nm1125275|tt0419887|WROTE
